Voltage (V),Temperature (K),Red,Green,Blue
148.0,10106.832792020787,6.697184469129306e-05,6.751393440954425e-05,6.713784411365334e-05
149.0,10133.00155103462,6.744879795713077e-05,6.800931660700123e-05,6.771332613963236e-05
150.0,10159.06234469761,6.792497702703437e-05,6.850398283835212e-05,6.82885703370039e-05
151.0,10185.016333788615,6.840038285593052e-05,6.899793287672987e-05,6.886356893935766e-05
152.0,10210.864659017154,6.887501646022853e-05,6.949116657979068e-05,6.943831439270868e-05
153.0,10236.608441499877,6.934887891521939e-05,6.998368388658756e-05,7.001279934983163e-05
154.0,10262.2487832227,6.982197135257198e-05,7.047548481455533e-05,7.058701666476453e-05
155.0,10287.786767489133,7.029429495792698e-05,7.0966569456607e-05,7.11609593874773e-05
156.0,10313.223459355251,7.076585096857928e-05,7.145693797833083e-05,7.173462075869674e-05
157.0,10338.55990605185,7.123664067124928e-05,7.194659061528986e-05,7.230799420488564e-05
158.0,10363.797137394193,7.17066653999373e-05,7.243552767041663e-05,7.288107333336909e-05
159.0,10388.936166179816,7.217592653385907e-05,7.292374951150037e-05,7.345385192760374e-05
160.0,10413.977988574812,7.264442549545802e-05,7.341125656876387e-05,7.402632394258491e-05
161.0,10438.923584488988,7.311216374849235e-05,7.38980493325245e-05,7.45984835003874e-05
162.0,10463.773917940276,7.35791427961932e-05,7.438412835093925e-05,7.51703248858353e-05
163.0,10488.529937408804,7.40453641794913e-05,7.486949422782742e-05,7.574184254229688e-05
164.0,10513.192576180933,7.451082947530962e-05,7.53541476205703e-05,7.631303106760012e-05
165.0,10537.762752683639,7.497554029491896e-05,7.583808923808352e-05,7.68838852100649e-05
166.0,10562.24137080957,7.543949828235534e-05,7.63213198388612e-05,7.745439986464897e-05
167.0,10586.629320233056,7.590270511289431e-05,7.680384022908609e-05,7.802457006920256e-05
168.0,10610.927476717425,7.63651624915833e-05,7.728565126080698e-05,7.85943910008298e-05
169.0,10635.13670241386,7.682687215182624e-05,7.776675383017774e-05,7.916385797235171e-05
170.0,10659.257846152152,7.728783585402149e-05,7.82471488757577e-05,7.973296642886963e-05
171.0,10683.291743723525,7.774805538424948e-05,7.87268373768704e-05,8.030171194442385e-05
172.0,10707.239218155872,7.820753255300786e-05,7.920582035201829e-05,8.087009021874592e-05
173.0,10731.101079981601,7.866626919399364e-05,7.968409885735169e-05,8.143809707410077e-05
174.0,10754.878127498363,7.912426716292973e-05,8.016167398519058e-05,8.200572845221687e-05
175.0,10778.571147022853,7.958152833643387e-05,8.063854686259573e-05,8.257298041129991e-05
176.0,10802.180913137945,8.003805461092937e-05,8.111471864998934e-05,8.313984912312962e-05
177.0,10825.708188933357,8.049384790159569e-05,8.159019053982218e-05,8.37063308702356e-05
178.0,10849.153726240034,8.094891014135617e-05,8.206496375528525e-05,8.427242204314992e-05
179.0,10872.518265858487,8.140324327990412e-05,8.253903954906578e-05,8.483811913773496e-05
180.0,10895.802537781232,8.1856849282763e-05,8.301241920214503e-05,8.54034187525831e-05
181.0,10919.007261409544,8.23097301303816e-05,8.348510402263571e-05,8.596831758648668e-05
182.0,10942.1331457647,8.276188781726185e-05,8.395709534465991e-05,8.653281243597668e-05
183.0,10965.18088969385,8.321332435111806e-05,8.442839452726346e-05,8.709690019292599e-05
184.0,10988.151182070735,8.3664041752067e-05,8.489900295336677e-05,8.766057784221826e-05
185.0,11011.044701991354,8.411404205184748e-05,8.536892202875177e-05,8.822384245947776e-05
186.0,11033.86211896476,8.456332729306775e-05,8.583815318108151e-05,8.878669120885963e-05
187.0,11056.604093099146,8.50118995284807e-05,8.630669785895272e-05,8.934912134089895e-05
188.0,11079.271275283316,8.545976082028523e-05,8.677455753098059e-05,8.991113019041617e-05
189.0,11101.864307363738,8.590691323945282e-05,8.724173368491301e-05,9.047271517447766e-05
190.0,11124.383822317257,8.63533588650791e-05,8.770822782677514e-05,9.103387379040952e-05
191.0,11146.830444419631,8.679909978375798e-05,8.817404148004126e-05,9.159460361386339e-05
192.0,11169.20478941,8.724413808897989e-05,8.863917618483556e-05,9.215490229693273e-05
193.0,11191.507464651391,8.76884758805505e-05,8.910363349715776e-05,9.271476756631733e-05
194.0,11213.739069287421,8.813211526403213e-05,8.956741498813587e-05,9.327419722153582e-05
195.0,11235.900194395244,8.857505835020374e-05,9.003052224330222e-05,9.38331891331843e-05
196.0,11257.991423134903,8.901730725454228e-05,9.049295686189434e-05,9.439174124123899e-05
197.0,11280.01333089517,8.945886409672229e-05,9.095472045617891e-05,9.494985155340302e-05
198.0,11301.966485435969,8.989973100013355e-05,9.141581465079758e-05,9.550751814349539e-05
199.0,11323.851447027477,9.03399100914168e-05,9.187624108213409e-05,9.606473914988033e-05
200.0,11345.668768586016,9.077940350001645e-05,9.23360013977033e-05,9.662151277393713e-05
