Reference Voltage (V):,6.3,Reference Luminance (lm sr^-1 m^-2):,315000.0
Voltage (V),Temperature (K),X,Y,Z,Red,Green,Blue
87.0,6685.229782720174,251233683.05707154,259955553.83099902,296419423.9975143,39333234.35661431,47371123.27436294,52507551.726568185
88.0,6714.633183448148,255652271.86042202,264565487.69394746,302756389.0003191,39925913.69846665,48231492.76506601,53631616.62050367
89.0,6743.831473322333,260080632.19209972,269185462.86176574,309128238.7657213,40518199.28995165,49094053.99461586,54761895.15359469
90.0,6772.8283639004185,264518408.7173191,273815096.11900383,315534241.42080724,41110063.8617056,49958731.129361026,55898257.266897984
91.0,6801.627459219841,268965256.4507678,278454015.6217264,321973680.54059345,41701481.3914015,50825450.50521818,57040575.6409291
92.0,6830.232260056108,273420840.40954196,283101860.513374,328445854.7963505,42292427.048594266,51694140.5568226,58188725.633514576
93.0,6858.646167968151,277884835.27955675,287758280.5554865,334950077.61095405,42882877.142264955,52564731.74931213,59342585.218873784
94.0,6886.872489143546,282356925.09483874,292422935.77265686,341485676.821305,43472809.070911966,53437156.51263986,60502034.92793881
95.0,6914.914438055505,286836802.92914087,297095496.1110952,348051994.34780794,44062201.275054626,54311349.17830983,61666957.78991157
96.0,6942.775140942748,291324170.59935015,301775641.1102336,354648385.8709121,44651033.19201769,55187245.91844051,62837239.27505979
97.0,6970.457639122557,295818738.3801702,306463059.586801,361274220.5146645,45239285.212874465,56064784.68705819,64012767.23874409
98.0,6997.964892146675,300320224.7295993,311157449.330853,367928880.5372465,45826938.64143205,56943905.163533665,65193431.86667152
99.0,7025.299780809002,304828356.0247439,315858516.8132389,374611761.0284226,46413975.655154645,57824548.69807226,66379125.62136404
100.0,7052.465110013482,309342866.3075186,320565976.90403026,381322269.6138345,47000379.2679175,58706658.259177014,67569743.1898308
101.0,7079.463611510005,313863497.03982157,325279552.60144615,388059826.1660607,47586133.29450026,59590178.383004084,68765181.43243039
102.0,7106.297946505639,318389996.86777836,329998974.7708368,394823862.52235097,48171222.316726305,60475055.124534965,69965339.3329082
103.0,7132.970708158046,322922121.3946766,334723981.8933058,401613822.20893997,48755631.65116459,61361236.01049311,71170117.94959201
104.0,7159.484423957479,327459632.9622238,339454319.82356995,408429160.17184097,49339347.31831199,62248669.99393501,72379420.36772904
105.0,7185.841558003352,332002300.4397878,344189741.5566758,415269342.5140065,49922356.01318342,63137307.41044947,73593151.65294497
106.0,7212.0445131810275,336549899.02127695,348930007.003203,422133846.2387526,50504645.0772337,64027099.93590091,74811218.80580683
107.0,7238.095633244075,341102210.0293597,353674882.7726113,429022158.999326,51086202.47154938,64918000.54565579,76033530.71746917
108.0,7263.997204806942,345659020.7267065,358424141.9643944,435933778.85450006,51667016.751241535,65809963.475234106,77259998.12638336
109.0,7289.751459252716,350220124.133978,363177563.9667238,442868214.03008276,52247077.0409832,66702944.18232949,78490533.57604995
110.0,7315.360574560299,354785318.8542791,367934934.2622814,449824982.6862147,52826373.01163255,67596899.31014529,79725051.3737926
111.0,7340.826677055132,359354408.90381914,372696044.240984,456803612.6903355,53404894.85788994,68491786.65199362,80963467.55053268
112.0,7366.151843087295,363927203.54852456,377460691.0193294,463803641.3956956,53982633.27693602,69387565.11711039,82205699.82154272
113.0,7391.338100640652,368503517.14637154,382228677.26609564,470824615.4253037,54559579.44800504,70284194.69763789,83451667.54815972
114.0,7416.387430876419,373083168.99520165,386999811.03414136,477866090.4611687,55135725.012846194,71181636.4367306,84701291.70043357
115.0,7441.301769614411,377665983.1858104,391773905.5980618,484927631.03873545,55711062.057031974,72079852.39774024,85954494.82069293
116.0,7466.08300875498,382251788.4600958,396550779.297476,492008810.3463831,56285583.09207136,72978805.63444039,87211200.98800565
117.0,7490.7329976445235,386840418.0740661,401330255.3857165,499109210.02987117,56859281.038289174,73878460.16224937,88471335.7835134
118.0,7515.253544387249,391431709.6655233,406112161.88371414,506228420.0016173,57432149.208437726,74778780.93041442,89734826.25662039
119.0,7539.646417105766,396025505.12623173,410896331.4388741,513366038.2546854,58004181.292003155,75679733.79512076,91001600.8920147
120.0,7563.913345152895,400621650.478405,415682601.1887513,520521670.6813801,58575371.34017572,76581285.49349065,92271589.57750398
